cliCod;FisJur;age;tasaeol;tasaius;debaut;score
90218;PJ;ND   ;[12 años];NULL;N;10.5
91175;PJ;ND   ;[13 años];NULL;N;10.5
91219;PF;>=64 ;[15 años];NULL;N;7.9
91304;PF;38   ;NULL;NULL;N;10.7
91444;PF;48   ;NULL;NULL;N;10.7
91459;SC;ND   ;NULL;NULL;N;9.2
91484;PF;42   ;NULL;NULL;N;9.7
300022;PF;>=64 ;NULL;NULL;N;7.1
300230;PF;41   ;NULL;NULL;N;9.3
300574;PJ;ND   ;NULL;NULL;NULL;9.0
300599;PF;43   ;NULL;NULL;N;5.1
300665;PJ;ND   ;NULL;NULL;N;7.0
300673;SC;ND   ;NULL;NULL;N;8.5
301021;PF;49   ;[>15 años];NULL;N;6.5
301169;PF;53   ;[>15 años];NULL;S;12.3
301180;PJ;ND   ;[>15 años];NULL;N;9.0
301201;PJ;ND   ;[>15 años];NULL;S;10.0
301214;PF;57   ;[>15 años];NULL;S;9.0
301236;PF;54   ;[>15 años];NULL;N;11.2
301237;PJ;ND   ;[>15 años];NULL;N;10.0
301251;PJ;ND   ;[>15 años];NULL;N;6.0
301261;PF;59   ;[>15 años];NULL;S;10.0
301282;PF;59   ;[>15 años];NULL;N;9.8
301289;PF;56   ;[>15 años];NULL;N;8.5
301325;PF;49   ;[>15 años];NULL;S;7.0
301326;PF;>=64 ;[>15 años];NULL;S;9.5
301363;PF;<=25 ;[>15 años];NULL;N;9.5
301389;PF;>=64 ;[>15 años];NULL;N;9.0
301425;PJ;ND   ;[>15 años];NULL;N;8.5
301437;PF;53   ;[>15 años];NULL;N;10.0
301440;PF;>=64 ;[>15 años];NULL;N;7.5
301485;PF;>=64 ;[>15 años];NULL;N;9.5
301555;PF;54   ;[>15 años];NULL;N;8.5
301585;PJ;ND   ;[>15 años];NULL;N;13.5
301597;PJ;ND   ;[>15 años];NULL;N;7.3
301621;PJ;ND   ;[>15 años];NULL;N;8.0
301629;PF;57   ;[>15 años];NULL;S;11.5
301634;PJ;ND   ;[>15 años];NULL;N;8.0
