behaviour,subtema
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,4
18,4
19,10
20,10
106,116
107,75
114,59
115,47
201,104
202,110
203,109
204,105
205,103
206,69
207,91
208,103
209,100
211,73
212,106
213,101
214,108
215,72
217,113
218,101
219,75
220,101
221,117
222,91
223,116
224,116
225,117
226,116
227,75
228,50
229,102
230,116
231,72
500,120
1000,69
1001,114
1002,116
1003,69
1033,79
1034,79
1134,65
1143,65
1146,65
1148,65
1150,65
1151,65
1160,65
1161,65
1162,65
1163,65
1164,65
1165,65
1166,65
1167,65
1172,65
1173,65
1174,65
1190,65
1193,65
1195,65
1196,65
1197,65
1198,65
1202,65
1203,65
1216,65
1217,65
1218,65
1236,65
1238,65
1242,65
1244,65
1247,65
1253,65
1256,65
1262,65
1264,65
1265,65
1270,65
1271,65
1272,65
1274,65
1275,65
1279,65
1280,65
1290,65
1293,65
1295,65
1296,65
1297,65
1298,65
1302,65
1314,65
1315,65
1318,65
1319,65
1321,65
1323,65
1325,65
1327,65
1329,65
1332,65
1334,65
1340,65
1345,65
1350,65
1352,65
1353,65
1354,65
1355,65
1357,65
1358,65
1359,65
1363,65
1372,65
1386,65
1401,65
1408,65
1409,65
1411,65
1414,65
1420,65
1426,65
1432,65
1436,65
1440,65
1445,65
1447,65
1451,65
1459,65
1461,65
1465,65
1466,65
1467,65
1471,65
1472,65
1474,65
1483,65
1486,65
1488,65
1490,65
1491,65
1494,65
1495,65
1496,65
1503,65
1504,65
1516,65
1520,65
1527,65
1536,65
1538,65
1542,65
1548,65
1556,65
1864,65
1865,65
1876,65
1877,65
1882,65
1883,65
1885,65
1891,65
1897,65
1900,65
1901,65
1917,65
1918,65
1919,65
1920,65
1923,65
1927,65
1932,65
1936,65
1938,65
1941,65
1942,65
1943,65
1948,65
1949,65
1951,65
1958,65
1974,65
1983,65
1987,65
2023,65
2028,65
2040,65
2052,65
2054,65
2057,65
2058,65
2059,65
2060,65
2067,65
2074,65
2075,65
2076,65
2078,65
2079,65
2089,65
2090,65
2091,65
2101,65
2103,65
2105,65
2107,65
2109,65
2111,65
2112,65
2115,65
2134,65
2135,65
2137,65
2158,65
2163,65
2165,65
2170,65
2179,65
2184,65
2185,65
2187,65
2191,65
2192,65
2196,65
2200,65
2201,65
2203,65
2213,65
2214,65
2215,65
2216,65
2218,65
2219,65
2221,65
2227,65
2233,65
2234,65
2236,65
2242,65
2247,65
2249,65
2250,65
2251,65
2252,65
2254,65
2255,65
2259,65
2293,65
2305,65
2458,102
2459,102
2460,102
2461,102
2462,102
2463,102
2464,102
2465,102
2469,102
2473,102
2485,102
2487,102
2489,102
2494,102
2506,102
2511,102
2543,102
2570,102
2580,102
2582,102
2586,102
2588,102
2592,102
2597,102
2624,102
2640,102
2641,102
2653,102
2659,102
2665,102
2666,102
2673,102
2680,102
2683,102
2687,102
2711,102
2726,102
2735,102
2737,102
2738,102
2744,102
2746,102
2747,102
2778,102
2801,102
2802,102
2811,102
2824,102
2843,102
2855,102
2861,102
2867,102
2870,102
2872,102
2877,102
2880,102
2886,102
2892,102
2894,102
2900,102
2906,102
2918,102
2923,102
2924,102
2926,102
2928,102
2940,102
2945,102
2951,102
2958,102
2974,102
2977,102
2980,102
2997,102
2998,102
3000,69
3006,102
3013,102
3036,102
3039,102
3042,102
3050,102
3058,102
3060,102
3065,102
3088,102
3105,102
3108,102
3109,102
3130,102
3132,102
3139,102
3143,102
3151,102
3157,102
3170,102
3172,102
3175,102
3181,102
3184,102
3193,102
3199,102
3205,102
3208,102
3221,102
3224,102
3230,102
3235,102
3236,102
3237,102
3240,102
3241,102
3242,102
3244,102
3480,102
3489,102
3491,102
3509,102
3510,102
3511,102
3519,102
3520,102
3525,102
3531,102
3539,102
3540,102
3542,102
3547,102
3548,102
3552,102
3553,102
3554,102
3560,102
3561,102
3564,102
3566,102
3571,102
3584,102
3585,102
3588,102
3591,102
3592,102
3593,102
3601,102
3604,102
3608,102
3614,102
3622,102
3628,102
3629,102
3630,102
3634,102
3636,102
3642,102
3652,102
3654,102
3660,102
3661,102
3683,102
3695,102
3723,102
3725,102
3727,102
3730,102
3741,102
3743,102
3744,102
3747,102
3748,102
3752,102
3764,102
3765,102
3766,102
3767,102
3782,102
3793,102
3794,102
3806,102
3807,102
3810,102
3811,102
3812,102
3816,102
3817,102
3821,102
3830,102
3832,102
3833,102
3834,102
3851,102
3856,102
3857,102
3860,102
3861,102
3864,102
3866,102
3872,102
3873,102
3887,102
3889,102
3892,102
3894,102
3897,102
3898,102
3904,102
3905,102
3912,102
3927,102
3938,102
3946,102
4000,74
4070,102
4074,102
4082,102
4084,102
4089,102
4092,102
4100,102
4126,102
4152,102
4159,102
