servicio,id
ENC TRIB CLASICA EOL,0
ENC TRIB CLASICA PAPEL 13 T,1
IMPUESTOS NACIONALES 2 TOMOS,2
COL ERREPAR CORDOBA,3
CONTABILIDAD Y ADMINISTRACION FULL,4
COL ORO,5
ENC TRIB CLASICA  ,6
ENC TRIB CLASICA PAPEL 12 T,7
ENC LAB CLASICA PAPEL 5 T,8
DOCTRINA PENAL TRIBUTARIA Y ECONOMICA EOL,9
DEMO EOL DISTVEND CS ECONOMICAS,10
ENC TRIB CLASICA PAPEL 13 T  IC,11
COL ERREPAR RURAL EOL,12
COL LABORAL ANIVERSARIO,13
COL ERREPAR CONSULTOR TRIBUTARIO,14
DOCTRINA PENAL TRIBUTARIA Y ECONOMICA,15
COL PLATINO PLUS,16
COL TRIBUTARIA ANIVERSARIO,17
COL INTEGRAL EOL PLUS CPAPEL,18
COL ERREPAR SANTA FE,19
DIGESTO PRACTICO LABORAL Y PREVISIONAL,20
COL INTEGRAL EOL,21
COL MILENIO EOL,22
ENC TRIB CLASICA PAPEL  13 T,23
COL SUMARIA EOL,24
COL BASICA INTEGRAL EOL,25
ENC LAB CLASICA EOL,26
COL ERREPAR BUENOS AIRES,27
COL BASICA INTEGRAL PAPEL,28
ENC SOC Y CONC CLASICA EOL,29
COL ERREPAR RURAL,30
COL INTEGRAL EOL PLUS,31
ENC SOC CLASICA PAPEL SC CAC MYF,32
0,33
CONTABILIDAD Y ADMINISTRACION EOL,34
ENC TRIB CLASICA PAPEL 10 T,35
IMPUESTOS PROVINCIALES 2 TOMOS,36
ENC SOC CLASICA PAPEL 5 T,37
ENC LAB CLASICA PAPEL TYR A,38
ENC SOC CLASICA PAPEL 3 T,39
COL MILENIO 2,40
AGENDA IMPOSITIVA 1 TOMO,41
ENC TRIB CLASICA EOL 3,42
COL DIGITAL,43
ENC TRIB CLASICA PAPEL 12 T2,44
ENC TRIB CLASICA EOL 2,45
COL TRIBUTARIA PROFESIONAL,46
COL BASICA LABORAL PAPEL,47
COL TEMAS DE DERECHO LABORAL EOL,48
COL BAS INTEGRAL EOL PLUS,49
COL ERREPAR BUENOS AIRES EOL,50
ENC TRIB CLASICA PAPEL 7 TOMOS,51
COL MILENIO EOL 2,52
COL MILENIO,53
COL ERREPAR CORDOBA EOL,54
COL MILENIO 3,55
COL INTEGRAL EOL PLUS CPAPEL 2,56
COL MILENIO EOL 3,57
COL BASICA TRIBUTARIA EOL,58
DOCTRINA TRIBUTARIA,59
COL BASICA TRIBUTARIA PAPEL,60
COL PLATA,61
COL LABORAL PROFESIONAL,62
COL BASICA INTEGRAL EOL  PLAN REC,63
COL ORO PLUS,64
COL INTEGRAL EOL CPAPEL,65
ENC TRIB CLASICA PAPEL 12 T3,66
COL BASICA LABORAL EOL,67
ENC TRIB CLASICA PAPEL IGGMPA,68
