subtema,tema
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,4
21,3
22,3
23,3
24,3
25,3
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
47,6
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
71,6
72,6
73,6
74,6
75,6
76,1
77,4
78,1
79,4
81,6
82,6
83,6
91,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
112,6
113,6
114,6
115,6
116,6
117,6
120,1
129,9
130,10
121,4
122,7
123,7
124,7
125,7
126,7
127,7
128,8
